ONERA M6
5.975099999999999682e-03 -1.337080000000000039e-02
7.711199999999999652e-03 -1.509510000000000018e-02
9.841300000000000742e-03 -1.689840000000000092e-02
1.244789999999999959e-02 -1.875370000000000162e-02
1.561710000000000008e-02 -2.062200000000000144e-02
1.946089999999999973e-02 -2.245449999999999877e-02
2.410669999999999827e-02 -2.420040000000000038e-02
2.970079999999999942e-02 -2.582450000000000023e-02
3.642610000000000292e-02 -2.733170000000000044e-02
4.448520000000000252e-02 -2.879119999999999943e-02
5.412480000000000069e-02 -3.032779999999999851e-02
6.563030000000000252e-02 -3.201380000000000198e-02
7.933659999999999324e-02 -3.383719999999999783e-02
9.563539999999999541e-02 -3.577419999999999906e-02
1.149796000000000012e-01 -3.779230000000000089e-02
1.378962999999999994e-01 -3.985219999999999735e-02
1.649975999999999943e-01 -4.190889999999999893e-02
1.919327000000000116e-01 -4.362139999999999768e-02
2.187096000000000040e-01 -4.505069999999999908e-02
2.453309999999999935e-01 -4.623580000000000051e-02
2.717977999999999783e-01 -4.719870000000000315e-02
2.981113000000000235e-01 -4.794940000000000313e-02
3.242726000000000219e-01 -4.849019999999999719e-02
3.502830000000000110e-01 -4.881830000000000197e-02
3.761445999999999956e-01 -4.892959999999999671e-02
4.018567000000000111e-01 -4.882020000000000109e-02
4.274222999999999772e-01 -4.848330000000000001e-02
4.528441000000000272e-01 -4.793510000000000132e-02
4.781196999999999808e-01 -4.716610000000000247e-02
5.032514000000000154e-01 -4.619029999999999664e-02
5.282426000000000066e-01 -4.502090000000000258e-02
5.530937000000000214e-01 -4.367410000000000042e-02
5.778043000000000484e-01 -4.216840000000000171e-02
6.023756999999999584e-01 -4.052410000000000040e-02
6.268103999999999898e-01 -3.876129999999999853e-02
6.511093000000000020e-01 -3.689900000000000124e-02
6.752726000000000006e-01 -3.495419999999999777e-02
6.993027000000000548e-01 -3.294020000000000281e-02
7.231994999999999951e-01 -3.086619999999999989e-02
7.469658000000000131e-01 -2.873650000000000163e-02
7.705997999999999459e-01 -2.655050000000000118e-02
7.941055000000000197e-01 -2.430270000000000000e-02
8.174827999999999539e-01 -2.198419999999999888e-02
8.407324000000000463e-01 -1.958379999999999843e-02
8.638563999999999687e-01 -1.709149999999999905e-02
8.868234999999999868e-01 -1.450509999999999994e-02
9.061905000000000099e-01 -1.219519999999999979e-02
9.225335999999999537e-01 -1.011379999999999918e-02
9.363346000000000169e-01 -8.326500000000000568e-03
9.479946000000000206e-01 -6.803799999999999605e-03
9.578510999999999553e-01 -5.514400000000000031e-03
9.661859999999999893e-01 -4.423999999999999981e-03
9.732361000000000484e-01 -3.501499999999999838e-03
9.792020000000000168e-01 -2.721100000000000168e-03
9.842507999999999813e-01 -2.060600000000000105e-03
9.885251999999999928e-01 -1.501399999999999957e-03
9.921438000000000201e-01 -1.028000000000000051e-03
9.952079999999999815e-01 -6.271000000000000098e-04
9.978029999999999955e-01 -2.875999999999999976e-04
1.000000000000000000e+00 -0.000000000000000000e+00
